population,group_axis,group_value,n_total,n_candidate,raw_rate,shrunk_rate,ci_low,ci_high,fisher_p,q_value,fleet_rate,population_n,small_population_warning,analysis_timestamp,code_version,window_days,stride_days,effective_step_definition
GAUGE_CORE,batt_fru,5B11M90162,20,0,0.0,0.0033,0.0,0.0279,1.0,1.0,0.0055,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,batt_fru,LNV-5B11H56403,22,0,0.0,0.0032,0.0,0.0267,1.0,1.0,0.0055,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,batt_fru,5B11M37553,23,0,0.0,0.0031,0.0,0.0262,1.0,1.0,0.0055,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,batt_fru,5B11H56383,23,0,0.0,0.0031,0.0,0.0262,1.0,1.0,0.0055,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,batt_fru,5B11M90097,23,0,0.0,0.0031,0.0,0.0262,1.0,1.0,0.0055,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,batt_fru,5B11M90100,25,0,0.0,0.003,0.0,0.0251,1.0,1.0,0.0055,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,batt_vendor,SMP,226,2,0.0088,0.0068,0.0019,0.0148,0.36516,1.0,0.0055,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,batt_vendor,Celxpert,130,1,0.0077,0.0061,0.0013,0.0145,0.54445,1.0,0.0055,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,batt_vendor,Sunwoda,203,1,0.0049,0.0053,0.0011,0.0127,0.72925,1.0,0.0055,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,batt_vendor,LG,18,0,0.0,0.0052,0.0006,0.0145,1.0,1.0,0.0055,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,batt_vendor,ATL,28,0,0.0,0.0051,0.0006,0.0141,1.0,1.0,0.0055,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,batt_vendor,COSMX,40,0,0.0,0.0049,0.0006,0.0137,1.0,1.0,0.0055,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,batt_vendor,BYD,85,0,0.0,0.0044,0.0005,0.0123,1.0,1.0,0.0055,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,device_model,ThinkPad X1 Carbon Gen 11,10,1,0.1,0.0435,0.0014,0.1502,0.05224,1.0,0.0053,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,device_model,ThinkPad X1 Yoga Gen 7,15,1,0.0667,0.0361,0.0012,0.1256,0.07758,1.0,0.0053,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,device_model,ThinkPad X1 Carbon Gen 10,31,1,0.0323,0.0234,0.0007,0.0824,0.15527,1.0,0.0053,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,device_model,ThinkPad T14s Gen 4,5,0,0.0,0.0035,0.0,0.0378,1.0,1.0,0.0053,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,device_model,ThinkPad X9-15 Gen 1,5,0,0.0,0.0035,0.0,0.0378,1.0,1.0,0.0053,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,device_model,ThinkPad L16 Gen 2,5,0,0.0,0.0035,0.0,0.0378,1.0,1.0,0.0053,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,device_model,ThinkPad X13 Gen 5,5,0,0.0,0.0035,0.0,0.0378,1.0,1.0,0.0053,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,device_model,ThinkPad T14s 2-in-1 Gen 2,5,0,0.0,0.0035,0.0,0.0378,1.0,1.0,0.0053,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,device_model,ThinkPad P1 Gen 9,5,0,0.0,0.0035,0.0,0.0378,1.0,1.0,0.0053,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,device_model,ThinkPad P14s Gen 5,5,0,0.0,0.0035,0.0,0.0378,1.0,1.0,0.0053,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,device_model,ThinkPad P16 Gen 2,5,0,0.0,0.0035,0.0,0.0378,1.0,1.0,0.0053,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,device_model,ThinkPad T16 Gen 2,5,0,0.0,0.0035,0.0,0.0378,1.0,1.0,0.0053,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,device_model,ThinkPad X1 Fold 16 Gen 1,5,0,0.0,0.0035,0.0,0.0378,1.0,1.0,0.0053,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GAUGE_CORE,device_model,ThinkPad T14 Gen 2i,5,0,0.0,0.0035,0.0,0.0378,1.0,1.0,0.0053,4,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
