mechanism,regime,detector,mean_false_no_response,mean_missed_no_response,mean_n_no_response,false_per_user_point,false_per_user_ci_lo,false_per_user_ci_hi,mean_episode_recovery,n_replicates
B,mcar_5pct,proposed,0.467,60.4,3946.6,0.0259,0.0111,0.0444,0.9852,15
B,mcar_10pct,naive,50.933,125.733,3856.6,2.8296,1.9698,3.8408,0.9686,15
B,mcar_10pct,binary_gap_gate,18.933,216.533,3663.933,1.0519,0.54,1.667,0.9686,15
B,mcar_10pct,graded,19.933,126.933,3806.467,1.1074,0.5292,1.7223,0.9686,15
B,mcar_10pct,proposed,2.333,126.933,3788.0,0.1296,0.0556,0.2223,0.9686,15
B,mcar_20pct,naive,48.867,284.067,3508.933,2.7148,1.837,3.7425,0.9286,15
B,mcar_20pct,binary_gap_gate,18.467,384.8,3319.267,1.0259,0.5222,1.6298,0.9286,15
B,mcar_20pct,graded,19.667,288.533,3458.4,1.0926,0.596,1.6483,0.9286,15
B,mcar_20pct,proposed,3.533,288.733,3441.267,0.1963,0.0889,0.326,0.9286,15
B,mcar_30pct,naive,48.8,477.467,3161.4,2.7111,1.8293,3.6669,0.879,15
B,mcar_30pct,binary_gap_gate,19.067,586.333,2974.467,1.0593,0.6111,1.5631,0.879,15
B,mcar_30pct,graded,21.267,483.067,3112.733,1.1815,0.7072,1.6117,0.879,15
B,mcar_30pct,proposed,6.8,483.2,3097.533,0.3778,0.1815,0.6519,0.879,15
B,mcar_50pct,naive,47.133,1018.733,2391.733,2.6185,1.8069,3.5277,0.7397,15
