user_id,design_mwh
DONGQZ-PF4RM5MZ_dongqz,57030.56768558952
DONGQZ-PF505XME_dongqz,57001.16686114352
DONGQZ-PF5HTSGV_dongqz,58001.75970280574
DONGQZ-PF6229ZN_dongqz,58000.6004202942
DONGQZ-PF66VXBZ_dongqz,58000.999500249876
DONGQZ-PW0B15P6_dongqz,90000.0
DRICKARD-5GLCFY_drickard,54749.80453479281
DRUBRIGHT-320B9_drubright,58000.999500249876
DRUBRIGHT-DPJ32_drubright,55100.20040080161
DRUBRIGHT-EHFA6_drubright,54700.256589689765
DRUBRIGHT-FSTTJ_drubright,56999.803652071474
DRUBRIGHT-N1GRS_drubright,57030.9550773877
DRUBRIGHT-NXE61_drubright,57030.56768558952
DSABOGAL-66ZRAR_dsabogal,58000.999500249876
DSMITH3-F66KH2F_dsmith3,75002.49975002499
DWATTS-PF5C6AV8_dwatts,57030.09892654178
DWATTS-PF627DJB_dwatts,60000.0
DWATTS-PF668VNV_dwatts,54699.34061608109
E14_test,47000.0
E28386-PF3X7BXZ_e28386,57000.0
E31583-PW0BLY7A_ohsaw,58000.6004202942
EAAGM1_pasw-,57029.511369134016
EB16034-F2RY6ZG_eb16034,50500.29429075927
EB16034-F4414Y8_eb16034,57001.40028005601
EB16034-F4QX17S_eb16034,57029.30030501895
EBUCHHOLZ-HKD6N_ebuchholz,57000.0
ECOOK-PF67560P_ecook,60000.0
EDANG-PF5TMMM8_edang,99899.98999899991
EIGERAMD_44900,58020.40130030266
EMOURA3-W0A2BQE_emoura3,46499.60998439937
ENOZAKI1-38LRB0_enozaki1,57000.104090767156
ESHORT_L13,46000.0
ETURNER-F54Q6Z0_eturner,57999.78878445454
EWALLACE-5AM7XJ_ewallace,56999.90648087533
FALMODOVAR-ZGVG_falmodovar,87381.30200685267
FANG_X13,54727.54050073638
FBOWER-PF59NQY8_fbower,87381.02247080758
FBOWER-PF5PJKZL_fbower,56998.711893516534
FFEI-PF5PFHPB_ffei,90000.0
FFENG-PF5FSWGF_ffeng,57001.40028005601
FORIPF_radac,57000.5790387956
FRED_Fred_Bower,75000.0
FRED_fbower,85995.79873962188
FSUN3-PC133Y8H_LicenseServer,57020.05730659026
FSUN3-PC133Y8H_fsun3,57020.31602708804
FTEK-PW09S10C_ftek,57000.0
GGILLETT-5D9MVD_ggillett,52499.75347598856
GHIROSE-F453D0C_ghirose,39380.09787928222
GHOOGAR-F3KPQQX_ghoogar,57049.94192799071
GKONDO-PF4RM5PL_gkondo,57028.11244979919
GKONDOXPF3TRKJD_gkondo,57000.12038040208
GLANCE_GM4,49529.993216396935
GLRTEST_s,58000.387897595036
GM201_an1,58000.0
GMCNEIL-F55JALH_gmcneil,58000.83998320034
GREG-WORK-X13Y_gmcneil,54729.65767302975
GTORRES3-0ABC7N_gtorres3,42222.00883426157
GTORRES3-0C7G0F_gtorres3,57999.59951942331
GTORRES3-5AZJEC_gtorres3,80000.0
GUERRILLAPC-M_GPC-1,57000.0
HAOJING6-501MPD_haojing6,58020.26693030153
HARDBAR-F4VMMMN_hardbar,52499.50406665345
HARRLIXPF4PFNTC_harrli,57049.97968305567
HARSHADA-X1CG12_hghodke,57029.93254637437
HBOUHYA-F5GLH13_hbouhya,54749.81870920957
HBOUHYA-F62XRZ6_hbouhya,60000.0
HDIZ1PF59HFLQ_hdiz,57030.06705602423
HELS-PW0C7G11_Lanshan,58000.999500249876
HHUDELSON-B0WN2_hhudelson,90000.0
HIDEKIK-F3T9NA0_hidekik,57047.619047619046
HIKAWA-PF38LTK0_hikawa,57001.70357751278
HIKAWAXPF3Z84A1_hikawa,57047.14640198512
HIROSE-PF4AKXKG_hirose,72010.81707552636
HMORI-PF49QH1A_HMORI,56999.65433805738
HNAKA-PF43B9PV_hnaka,57051.84259837602
HSUMI-GM132TGM_hsumi,58000.876808417364
HSUMIXPF3MN51B_Hiroyuki_Sumi,57001.067235859126
HSUMIXPF3T9QH8_hsumi,57051.628964173615
HWPA-NL1-SKU8-S_HWPA,58000.999500249876
HWPA-SKU2-03_YSKOBA,57032.73600961057
HWPA-TH1-SKU1B-_TEST,57000.0
HYKW_X1CG11,57030.59513830679
HZHANG16-5GLDJK_hzhang16,54749.188396690755
ICA_USER,57000.66357000664
IMANARANG1-3A19_imanarang1,39301.164725457566
IMIHO-PF2SCRY9_imiho,50500.29429075927
IYOSHIMITSU-VKS_iyoshimitsu,39298.99695706074
JACKX1_jkleissler,57029.97616957231
JAGUAR3_SVT,57050.29013539651
JANUMOLU-0A203W_janumolu,46000.0
JBARRETT-4SA7XV_jbarrett,54699.51357288561
JBOWEN2-F62KRD0_jbowen2,75000.0
JBRUNDIDGE-EPQ0_jbrundidge,74997.50474099211
JCAMARADOR-4NYS_jcamarador,51000.11562030293
JCOMBS-PF5BRRYC_jcombs,57000.0
JCOMBS-PF5PEZSE_jcombs,90000.0
JCOYNE_jcoyne,52500.50010002
JDASILVA-4QWMA3_jdasilva,58020.614430101064
JEFFREYX9-14_jeffreyf1,55099.85387238188
JEREMYCA-4BWNT1_jeremyca,94011.17087298303
JEREMY_jeremyca,90000.99990000999
JESSICAWANG2025_wangyun,57000.20802995632
JESTROFF-4G0AHW_jestroff,52500.24274201379
JESTROFF-4SA4E9_jestroff,54730.02633889376
JESTROFF-504AKS_jestroff,57029.56726062267
JFASANO-F4RXM66_jfasano,39419.84732824427
JFISHEL-F56FAH2_jfishel,57029.74121282348
JG3-SIT-OS_Maru1tom,57000.0
JGERMANO-5PHRQ0_jgermano,90000.0
JINOUE1-F49SYAH_jinoue1,57049.3283666328
JJOHNSON16-QW2P_jjohnson16,57000.757862826824
JJOHNSON18-T4GM_jjohnson18,58000.999500249876
JKLEISSLER-DNZK_jkleissler,57030.0
JL18156-F3Z1LJN_JL18156,54720.41908666439
JL24078-F3YZT26_jl24078,57000.0
JLEWIS9-W0A2BP7_jlewis9,56999.79971960745
JMANCHESTER-LQ5_jmanchester,58000.0
JMATTHEWS2-YXHQ_jmatthews2,93538.96103896103
